"Variables ->","employment_rate_any_industry","employment_rate_ed_any_ind","employment_rate_noed_any_ind","employment_rate_1","employment_rate_1_ed","employment_rate_1_noed","employment_rate_2","employment_rate_2_ed","employment_rate_2_noed","employment_rate_3","employment_rate_3_ed","employment_rate_3_noed","employment_rate_4","employment_rate_4_ed","employment_rate_4_noed","employment_rate_5","employment_rate_5_ed","employment_rate_5_noed","employment_rate_6","employment_rate_6_ed","employment_rate_6_noed","share_employed_industy_1","share_employed_industy_1_ed","share_employed_industy_1_noed","share_employed_industy_2","share_employed_industy_2_ed","share_employed_industy_2_noed","share_employed_industy_3","share_employed_industy_3_ed","share_employed_industy_3_noed","share_employed_industy_4","share_employed_industy_4_ed","share_employed_industy_4_noed","share_employed_industy_5","share_employed_industy_5_ed","share_employed_industy_5_noed","share_employed_industy_6","share_employed_industy_6_ed","share_employed_industy_6_noed","hrlwage_ed_any_industry","hrlwage_ed_industry_1","hrlwage_ed_industry_2","hrlwage_ed_industry_3","hrlwage_ed_industry_4","hrlwage_ed_industry_5","hrlwage_ed_industry_6","hrlwage_noed_any_industry","hrlwage_noed_industry_1","hrlwage_noed_industry_2","hrlwage_noed_industry_3","hrlwage_noed_industry_4","hrlwage_noed_industry_5","hrlwage_noed_industry_6","uhat_education_unskilled","uhat_education_skilled","employment_ratio","employment_ratio_industry_1","employment_ratio_industry_2","employment_ratio_industry_3","employment_ratio_industry_4","employment_ratio_industry_5","employment_ratio_industry_6","hrlwage_ed_industry_1_old","hrlwage_ed_industry_2_old","hrlwage_ed_industry_3_old","hrlwage_ed_industry_5_old","hrlwage_ed_industry_6_old","hrlwage_noed_industry_1_old","hrlwage_noed_industry_2_old","hrlwage_noed_industry_3_old","hrlwage_noed_industry_4_old","hrlwage_noed_industry_5_old","hrlwage_noed_industry_6_old"
"1979M01",0.94579673,0.96160418,0.93498558,0.94271910,0.96573275,0.93434882,0.95379066,0.96248853,0.93888229,0.94824481,0.95165569,0.94687277,0.92806691,0.94471025,0.91987664,0.95407671,0.97253382,0.92424029,0.96989977,0.97719443,0.96361089,0.26078528,0.17254600,0.32285252,0.21201530,0.32721129,0.13098681,0.09364796,0.06529104,0.11359412,0.24923933,0.20263293,0.28202209,0.06098260,0.09300386,0.03845895,0.12332953,0.13931488,0.11208549,6.82367945,8.24380398,6.35572672,7.39679670,5.50121498,7.14286661,7.44673920,4.98664618,5.60335493,4.26343822,5.97881174,4.31231213,4.53686953,4.97707510,-0.56913465,-0.75839740,0.70339674,0.37592486,1.75711858,0.40429470,0.50539070,1.70099843,0.87427568,8.24380398,6.35572672,7.39679670,7.14286661,7.44673920,5.60335493,4.26343822,5.97881174,4.31231213,4.53686953,4.97707510
"1979M02",0.94763494,0.96903557,0.93324834,0.94641757,0.97570717,0.93570387,0.96766859,0.98297060,0.94197828,0.94587803,0.95288271,0.94318902,0.92605329,0.95107573,0.91308665,0.95537233,0.97087479,0.93134087,0.95834243,0.96276200,0.95495003,0.26125193,0.17547365,0.32112741,0.20800361,0.32212541,0.12834366,0.09692878,0.06589185,0.11859337,0.24501978,0.20894019,0.27020428,0.06163603,0.09262070,0.04000792,0.12715986,0.13494822,0.12172338,6.92361212,8.13686180,6.35871077,8.59404182,5.94482183,7.08378696,7.22821379,5.01950598,5.71760130,4.27712870,5.82247448,4.25146103,4.85561752,4.93227100,-0.55546635,-0.75031394,0.69802594,0.38142228,1.75195169,0.38783127,0.53976083,1.61597121,0.77386415,8.13686180,6.35871077,8.59404182,7.08378696,7.22821379,5.71760130,4.27712870,5.82247448,4.25146103,4.85561752,4.93227100
"1979M03",0.94980431,0.96665710,0.93823469,0.94256508,0.96346819,0.93416792,0.96743357,0.97579497,0.95349228,0.94121397,0.95772648,0.93474430,0.93533278,0.94557267,0.93047160,0.94619119,0.97061735,0.91183245,0.97091722,0.98032653,0.96339709,0.25772971,0.18224478,0.31112078,0.22260429,0.33878219,0.14043078,0.08678565,0.06000607,0.10572705,0.24430566,0.19191101,0.28136477,0.06280784,0.09089866,0.04293898,0.12576684,0.13615729,0.11841761,6.91404676,8.39907169,6.40161610,7.27142477,5.69689798,7.37938786,7.35386372,5.09820509,5.78726387,4.27436781,6.30619383,4.31936073,4.99752808,5.19202566,-0.54937345,-0.75160289,0.70730758,0.41431853,1.70634377,0.40143698,0.48243460,1.49731803,0.81326652,8.39907169,6.40161610,7.27142477,7.37938786,7.35386372,5.78726387,4.27436781,6.30619383,4.31936073,4.99752808,5.19202566
"1979M04",0.95406818,0.97335702,0.94119024,0.94145495,0.96167225,0.93394214,0.96515399,0.97956496,0.93978387,0.95450044,0.96100676,0.95178497,0.94589657,0.96569109,0.93650830,0.96293271,0.98480326,0.93138856,0.97405165,0.98442519,0.96589208,0.25965458,0.17593168,0.31746155,0.20489463,0.32469887,0.12217510,0.10292388,0.07470839,0.12240543,0.24428798,0.19643742,0.27732667,0.05948276,0.08795702,0.03982254,0.12875615,0.14026660,0.12080870,6.92948818,8.12149143,6.38722277,7.81942081,5.80006838,7.77607536,7.30467701,5.07385206,5.87322998,4.22818899,6.14556456,4.25599384,4.67083931,4.85500813,-0.55285639,-0.74232107,0.69045568,0.38263857,1.83499074,0.42140973,0.48906705,1.52502644,0.80166310,8.12149143,6.38722277,7.81942081,7.77607536,7.30467701,5.87322998,4.22818899,6.14556456,4.25599384,4.67083931,4.85500813
"1979M05",0.95706874,0.96958888,0.94862711,0.95420974,0.97301090,0.94672406,0.97021800,0.97698027,0.95783961,0.96337110,0.98108065,0.95653754,0.94646877,0.96465331,0.93764758,0.94533807,0.95315409,0.93502712,0.96418804,0.95805049,0.96863520,0.25519741,0.18163578,0.30589172,0.20952584,0.33444190,0.12344107,0.09785855,0.06801154,0.11842734,0.25878683,0.21117215,0.29160002,0.05739234,0.08067902,0.04134453,0.12123905,0.12405960,0.11929530,7.01538134,8.53073978,6.40936708,7.61847258,5.97792530,7.88193178,7.24021626,5.13497448,5.95015574,4.46592999,5.68161011,4.33578014,5.09090614,5.08953571,-0.53873175,-0.72958326,0.68914086,0.40920570,1.86710608,0.39576608,0.49906498,1.34477770,0.71666312,8.53073978,6.40936708,7.61847258,7.88193178,7.24021626,5.95015574,4.46592999,5.68161011,4.33578014,5.09090614,5.08953571
"1979M06",0.95022029,0.96042603,0.94350028,0.94444281,0.94950449,0.94235963,0.95660859,0.96276248,0.94704938,0.96968967,0.97769266,0.96664935,0.93009281,0.93764180,0.92639476,0.96501565,0.98166323,0.94288820,0.97088486,0.98286402,0.96074915,0.26702663,0.19504756,0.31527179,0.19188064,0.29276308,0.12426248,0.10696311,0.07398774,0.12906539,0.24836807,0.20515388,0.27733308,0.06291647,0.09101439,0.04408336,0.12284511,0.14203335,0.10998388,7.08557796,8.39958572,6.72316551,7.62663078,5.66598797,7.56246758,7.32789803,5.12232447,5.96348667,4.48771477,5.72811174,4.25097418,4.60353851,5.09929037,-0.54320556,-0.71612179,0.67026681,0.41467044,1.57915223,0.38423568,0.49582195,1.38383102,0.86558360,8.39958572,6.72316551,7.62663078,7.56246758,7.32789803,5.96348667,4.48771477,5.72811174,4.25097418,4.60353851,5.09929037
"1979M07",0.95075864,0.96504658,0.94105458,0.94917774,0.96731472,0.94183528,0.95021987,0.95506841,0.94246215,0.95601261,0.97717947,0.94742870,0.93999821,0.96071076,0.92905980,0.96022743,0.96331382,0.95480365,0.96735686,0.98533261,0.95393139,0.26572299,0.19008034,0.31840751,0.19347228,0.29148349,0.12520824,0.10585731,0.07604200,0.12662344,0.24631380,0.21191302,0.27027369,0.06118741,0.09529219,0.03743370,0.12744622,0.13518895,0.12205346,6.94850779,8.35722160,6.48568630,7.29840851,5.50727701,7.70956945,7.32062483,5.16664267,5.90838528,4.35807562,6.27401400,4.31797171,4.65214872,5.04836893,-0.53170300,-0.73201048,0.69649220,0.41578627,1.62142670,0.41826901,0.54609746,1.77300870,0.77144927,8.35722160,6.48568630,7.29840851,7.70956945,7.32062483,5.90838528,4.35807562,6.27401400,4.31797171,4.65214872,5.04836893
"1979M08",0.94831151,0.96333092,0.93835628,0.94383907,0.96481329,0.93518502,0.94432890,0.95126551,0.93335348,0.96030742,0.98875672,0.95028567,0.94409299,0.96850091,0.93124497,0.94431520,0.94891852,0.93823165,0.96411234,0.97427714,0.95596170,0.26464608,0.19514033,0.31194225,0.19310103,0.29434896,0.12420545,0.10746600,0.07118406,0.13215457,0.25309646,0.22112341,0.27485296,0.05435413,0.07678435,0.03909117,0.12733629,0.14141887,0.11775360,7.06176710,8.36273956,6.65906143,8.25947666,5.81456757,7.51710367,7.09838581,5.21435165,5.94834185,4.29393864,6.15645552,4.46908760,4.85826206,5.18352509,-0.52846116,-0.72104579,0.68046403,0.42567489,1.61260140,0.36652684,0.54744381,1.33659315,0.81721878,8.36273956,6.65906143,8.25947666,7.51710367,7.09838581,5.94834185,4.29393864,6.15645552,4.46908760,4.85826206,5.18352509
"1979M09",0.95084268,0.96668071,0.94044703,0.94034868,0.96500134,0.93104440,0.95816773,0.96797681,0.94105548,0.95833123,0.95822591,0.95837343,0.94560349,0.96568573,0.93586373,0.94842929,0.95871711,0.93269056,0.96605134,0.97740984,0.95835960,0.25528473,0.17817703,0.30730772,0.20160523,0.32134393,0.12081996,0.10304340,0.07318769,0.12318645,0.25363791,0.20998320,0.28309089,0.05616948,0.08522608,0.03656558,0.13025925,0.13208206,0.12902941,7.29494143,8.95508862,6.71890736,8.24398518,5.81826973,7.77975273,7.85522127,5.24618864,5.91013241,4.32637691,6.23592424,4.51936913,5.21096230,5.28538275,-0.52446830,-0.70219260,0.67467976,0.39117935,1.79444063,0.40084165,0.50044501,1.57252574,0.69064176,8.95508862,6.71890736,8.24398518,7.77975273,7.85522127,5.91013241,4.32637691,6.23592424,4.51936913,5.21096230,5.28538275
"1979M10",0.95230818,0.96302032,0.94493729,0.94356447,0.94757181,0.94210953,0.96055919,0.97187185,0.93930167,0.95895743,0.96995866,0.95451355,0.94578671,0.95164585,0.94269627,0.95960730,0.97166765,0.94011831,0.96031797,0.96844220,0.95455831,0.26137945,0.16961738,0.32572827,0.21055830,0.33732054,0.12166540,0.10698317,0.07553189,0.12903859,0.23598607,0.19892074,0.26197839,0.06119472,0.09286026,0.03898904,0.12389828,0.12574920,0.12260032,7.27049112,8.47210789,7.00428343,7.98104668,5.83069468,8.21062183,7.45473480,5.34719181,6.01974964,4.58620691,6.12896729,4.46247673,5.05141687,5.50816679,-0.51635563,-0.69578725,0.70125687,0.36516744,1.94425309,0.41047609,0.53246582,1.67018425,0.71926808,8.47210789,7.00428343,7.98104668,8.21062183,7.45473480,6.01974964,4.58620691,6.12896729,4.46247673,5.05141687,5.50816679
