"Variables ->","employment_ratio_adj","employment_ratio_industry_1_adj","employment_ratio_industry_2_adj","employment_ratio_industry_3_adj","employment_ratio_industry_4_adj","employment_ratio_industry_5_adj","employment_ratio_industry_6_adj","hrlwage_ed_industry_1","hrlwage_ed_industry_2","hrlwage_ed_industry_3","hrlwage_ed_industry_4","hrlwage_ed_industry_5","hrlwage_ed_industry_6","hrlwage_noed_industry_1","hrlwage_noed_industry_2","hrlwage_noed_industry_3","hrlwage_noed_industry_4","hrlwage_noed_industry_5","hrlwage_noed_industry_6","employment_rate_1_ed","employment_rate_2_ed","employment_rate_3_ed","employment_rate_4_ed","employment_rate_5_ed","employment_rate_6_ed","employment_rate_1_noed","employment_rate_2_noed","employment_rate_3_noed","employment_rate_4_noed","employment_rate_5_noed","employment_rate_6_noed","employment_rate_ed_any_ind","employment_rate_noed_any_ind","hrlwage_ed_any_industry","hrlwage_noed_any_industry","uhat_education_skilled","uhat_education_unskilled"
"1979M01",0.68683885,0.37782631,1.73638756,0.38255965,0.50626940,1.62031131,0.82000179,8.27568744,6.38913169,7.43176885,5.62763003,7.17415715,7.28463217,5.62156251,4.22053561,5.73731069,4.22184326,4.41662187,4.94484290,0.97490206,0.96075162,0.96896637,0.95489635,0.97543711,0.97659173,0.94382717,0.93562774,0.97320490,0.93137064,0.92406122,0.96320572,0.96615061,0.94350748,6.84977407,4.96231994,-0.76058093,-0.56875510
"1979M02",0.69022317,0.38424318,1.69953748,0.36948032,0.53733229,1.50630217,0.77537378,8.16377972,6.38961829,7.96357798,5.78958184,7.10465506,7.17101390,5.71329621,4.25380456,5.82779451,4.19135626,4.92201385,4.90438823,0.97386340,0.97742084,0.96618557,0.95821577,0.96780619,0.96799921,0.94320619,0.94193035,0.96125495,0.92420814,0.92622659,0.96242635,0.96895258,0.94032864,6.84316291,4.99786595,-0.75496593,-0.56263704
"1979M03",0.69216958,0.40925389,1.73151203,0.39307876,0.49717978,1.58613615,0.77324042,8.29566516,6.35870379,7.53585104,5.69776343,7.38826226,7.21474967,5.74988307,4.28498176,5.91012412,4.28124614,4.94059299,5.11694211,0.96527804,0.96984210,0.96289108,0.94283894,0.97355924,0.98071515,0.93730450,0.94481698,0.94776968,0.93132102,0.91958047,0.96706277,0.96514854,0.94047974,6.89460530,5.04762215,-0.75113509,-0.55805107
"1979M04",0.69225718,0.39755817,1.75574744,0.40691117,0.50090328,1.59188492,0.80469082,7.98365384,6.50158540,7.83075289,5.74129698,7.58013492,7.37010599,5.77864696,4.30983491,6.04730408,4.30126354,4.84899432,4.78175419,0.96002479,0.97122481,0.96151403,0.95900523,0.98024246,0.97785760,0.93566672,0.93227562,0.94566101,0.93151935,0.93259491,0.96675438,0.96819055,0.93991372,6.96488746,5.05462087,-0.74031033,-0.55471206
"1979M05",0.70628429,0.40781679,1.97142983,0.40988791,0.49901375,1.39729221,0.74169296,8.47254606,6.53902522,7.87973904,5.96268786,8.05300690,7.25368900,5.86441313,4.51154878,5.90724747,4.32600999,5.07058853,5.07396149,0.97301817,0.97453870,0.97174039,0.96176234,0.96052563,0.96214445,0.94264912,0.94934528,0.94926020,0.92950569,0.92962172,0.96622419,0.96894779,0.94378224,7.01310681,5.10942026,-0.72783507,-0.54130090
"1979M06",0.68141262,0.40359041,1.68007029,0.38981374,0.51330274,1.24121033,0.89000809,8.42252729,6.66138117,7.71428541,5.68944451,7.52401337,7.32484019,5.95261716,4.41527065,6.07113012,4.29904870,4.67705610,5.16281473,0.94899337,0.97262061,0.97419517,0.94785806,0.98447227,0.98549722,0.94146196,0.95213416,0.95149696,0.92529114,0.94158269,0.96127368,0.96644011,0.94299353,7.05125713,5.16774531,-0.71841981,-0.54071974
"1979M07",0.70335305,0.41420737,1.74755921,0.40778089,0.52235790,1.71616868,0.77800909,8.38991459,6.47091793,7.86931648,5.47339560,7.73147350,7.44312771,5.91323699,4.32403996,6.45565872,4.36025443,4.64008465,4.98530595,0.96800071,0.96476199,0.97018585,0.95869915,0.96873799,0.98371815,0.93956751,0.94800882,0.94134318,0.92915895,0.94737102,0.94928865,0.96769447,0.94155997,7.00582535,5.16729978,-0.72817664,-0.53490754
"1979M08",0.71027567,0.42135979,1.72405701,0.39487998,0.54491114,1.46339775,0.80996398,8.54135891,6.56726806,7.96621315,5.79283919,7.88961297,7.30352708,5.97623649,4.35602532,6.21801377,4.43361264,4.88207801,5.26141721,0.96009810,0.96769406,0.98237735,0.96171769,0.94671308,0.97900525,0.93483263,0.94920344,0.94327873,0.93208046,0.92861023,0.95529299,0.96624718,0.93702626,7.11759815,5.21929420,-0.71686544,-0.52799599
"1979M09",0.70289753,0.41786944,1.81133775,0.41246187,0.51474386,1.64765741,0.75300758,8.92781347,6.70984934,8.11963256,5.80091978,7.80467072,7.85981238,5.96330669,4.32767987,6.18364572,4.50659681,5.36700583,5.25787284,0.96419896,0.96951700,0.95519185,0.96318218,0.95324655,0.97930871,0.92764134,0.94461957,0.94272029,0.93530255,0.93303882,0.95422152,0.96566268,0.93555837,7.28557836,5.24994136,-0.70335266,-0.52544177
"1979M10",0.68836039,0.35407010,1.81709643,0.40299913,0.51919248,1.79857082,0.68963253,8.61396556,6.93475986,8.12306244,5.83408045,8.09035478,7.40026145,6.06327559,4.49978351,6.23463959,4.47682313,4.91118542,5.49630117,0.94870771,0.97099604,0.96683505,0.95576757,0.97157195,0.96573541,0.93115020,0.94795063,0.94427304,0.93450443,0.94192752,0.96001264,0.96369906,0.94083981,7.21873781,5.34898938,-0.69820426,-0.51256019
"1979M11",0.68845494,0.39859839,1.55173324,0.46281956,0.53454003,1.52023648,0.77997175,8.77413020,6.78195452,7.37298316,5.88440160,7.63327165,7.82346488,6.11560317,4.50808782,6.37650221,4.45956652,5.13399023,5.39110118,0.96551593,0.97262527,0.96507462,0.96008629,0.95814052,0.97753748,0.93445835,0.95328990,0.94866308,0.92614594,0.93721181,0.96027904,0.96767194,0.93950064,7.25755159,5.34943580,-0.69893151,-0.50220732
