,x
1,8.243803978
2,8.136861801
3,8.399071693
4,8.121491432
5,8.530739784
6,8.399585724
7,8.357221603
8,8.362739563
9,8.955088615
10,8.472107887
11,8.839543343
12,8.762513161
13,8.864010811
14,9.026123047
15,9.107206345
16,9.38549614
17,9.339393616
18,9.230126381
19,9.349840164
20,9.280233383
21,9.603671074
22,9.550201416
23,9.743067741
24,9.742814064
25,9.753178596
26,9.861542702
27,10.1746521
28,10.13962173
29,9.939764023
30,10.2684021
31,10.27210522
32,10.12838364
33,10.39258957
34,10.55158901
35,10.5371151
36,10.85493469
37,10.65998554
38,10.86000252
39,10.66127396
40,11.27087688
41,11.04737854
42,11.05574799
43,11.30679417
44,10.97178173
45,11.35396194
46,11.04242325
47,11.66366005
48,11.53210354
49,11.4189024
50,11.25433064
51,11.41949463
52,11.43583488
53,11.5021143
54,11.27608204
55,11.56356525
56,11.19931316
57,11.73874283
58,11.44755363
59,11.93804646
60,11.55419827
61,11.67879295
62,11.4463625
63,11.81143284
64,11.85281754
65,11.67774677
66,12.05910778
67,11.487957
68,11.68341827
69,11.97595787
70,11.62604141
71,11.89875126
72,11.90351868
73,12.25536919
74,11.98775291
75,12.44210815
76,12.46450329
77,12.48521137
78,12.4241333
79,12.88928795
80,12.4108696
81,12.04420185
82,12.49477959
83,12.30925465
84,12.53155804
85,12.77407551
86,12.80506134
87,12.89895344
88,12.80513954
89,12.7272644
90,12.69322109
91,12.87282085
92,12.776124
93,12.64265251
94,12.93584919
95,12.87155437
96,12.78885555
97,13.00961494
98,13.25615501
99,13.3215723
100,13.20349693
101,12.92321777
102,13.22569084
103,13.02634144
104,13.82568073
105,13.00213528
106,13.33450985
107,13.1721077
108,13.29463673
109,13.17366791
110,13.36068058
111,13.53965378
112,13.07236481
113,13.34781933
114,13.16246986
115,13.57151794
116,13.18868637
117,13.3539114
118,13.72230816
119,13.44059277
120,13.87944698
121,14.50104713
122,14.21424007
123,14.59562874
124,14.50512314
125,14.92498875
126,14.83283138
127,14.70676422
128,14.79844666
129,14.7332859
130,15.46577835
131,15.05944443
132,15.2314043
133,15.04163933
134,15.9973917
135,15.17827129
136,15.14301205
137,15.48408699
138,15.69846058
139,15.55982494
140,15.01273727
141,15.39129543
142,15.84206867
143,16.14541245
144,15.24935246
145,15.62242794
146,16.05057716
147,15.97559452
148,15.74531937
149,16.27959824
150,15.5514555
151,16.16150093
152,15.78454399
153,16.42013359
154,16.21261597
155,15.88612461
156,15.81660652
157,16.21666336
158,15.98449802
159,16.65440178
160,15.81915951
161,16.64278793
162,15.89246845
163,16.28692436
164,15.94311142
165,16.32830238
166,15.91290379
167,16.30934143
168,16.40936089
169,16.99692154
170,16.10100746
171,16.72409248
172,16.56369019
173,17.01033974
174,16.72887802
175,16.11825371
176,16.30139923
177,15.66962624
178,16.80433083
179,16.71656609
180,16.887537
181,17.40702438
182,16.44688606
183,16.58605385
184,17.09551048
185,16.86006355
186,16.91417122
187,16.31167603
188,16.83000946
189,16.87785339
190,17.34991455
191,15.94015026
192,17.25063515
193,17.51395607
194,17.20711136
195,17.55304337
196,17.33252716
197,17.68658638
198,18.0870266
199,16.60578537
200,16.46148682
201,17.05349159
202,17.49692154
203,16.30121422
204,17.24012947
205,17.21455765
206,17.20996284
207,17.99929619
208,17.26169014
209,17.78211403
210,18.60027504
211,17.32481194
212,17.63016891
213,17.75927353
214,17.72755241
215,17.4513073
216,17.54849625
217,17.85357475
218,18.61742592
219,18.26052666
220,17.92424965
221,17.33922958
222,18.05488396
223,17.69083405
224,18.3103714
225,18.43592644
226,18.41366959
227,18.56232643
228,18.17805481
229,19.3517189
230,19.01079369
231,19.00992966
232,18.97831726
233,18.52118683
234,18.75106239
235,18.58452034
236,18.8347683
237,19.06431389
238,20.3026371
239,20.72370911
240,19.92320824
241,19.81172562
242,20.05170822
243,20.56260109
244,20.16173935
245,19.85708427
246,20.09496689
247,19.68900108
248,19.69279861
249,20.07602119
250,20.78126907
251,21.16470337
252,21.62599945
253,20.55328941
254,20.86082649
255,20.74095345
256,21.00466156
257,20.48875427
258,21.36137009
259,22.20299721
260,20.28762436
261,19.97781563
262,21.29388237
263,20.85904884
264,20.95183372
265,21.23410225
266,22.17417336
267,22.79596901
268,21.7515831
269,22.10770988
270,21.67423058
271,22.17650604
272,21.8860321
273,21.60190964
274,22.21176529
275,21.89913559
276,23.08939552
277,21.30912209
278,23.19946289
279,22.9563446
280,22.43813515
281,21.76625443
282,21.36586952
283,22.44091225
284,22.89820099
285,22.09129143
286,21.98986053
287,23.15995789
288,22.10313225
289,22.48092842
290,22.60772705
291,22.45603943
292,22.36452675
293,23.0106678
294,23.02556419
295,23.09925652
296,23.26475906
297,23.80186462
298,23.77215767
299,23.45848656
300,22.88706589
301,23.41886139
302,24.18747139
303,22.98000908
304,23.61083412
305,23.64262772
306,24.09116364
307,23.62196922
308,22.69217682
309,24.91346169
310,23.63317299
311,24.60908508
312,23.64016533
313,24.40573502
314,24.77952385
315,23.69676018
316,23.48672676
317,24.32382584
318,23.47176552
319,24.93635178
320,24.30599213
321,25.04188156
322,23.69536209
323,23.98838615
324,24.65112114
325,25.00072861
326,24.58896637
327,25.01611137
328,24.85246849
329,24.5026226
330,25.25498962
331,24.9263401
332,23.98571205
333,24.95516777
334,24.26580238
335,24.44079971
336,26.3520546
337,25.390619
338,25.29398537
339,25.49750137
340,24.96386528
341,26.13594627
342,25.65042114
343,26.13485718
344,25.19325066
345,25.99961853
346,25.7009449
347,24.88607025
348,25.90074348
349,26.14719963
350,26.13180542
351,27.18986702
352,26.19039726
353,27.74827385
354,26.4791584
355,26.92634583
356,25.94959259
357,28.13780212
358,27.32643127
359,26.07995224
360,26.86072731
361,26.04780388
362,26.53261757
363,27.48814392
364,28.95402718
365,28.4048481
366,27.70342445
367,27.81529045
368,27.18796921
369,28.09188652
370,27.16414452
371,26.76486397
372,27.09021759
373,28.20291519
374,28.46115875
375,27.98801422
376,27.4874649
377,27.85640335
378,27.84378624
379,26.87979507
380,28.31830025
381,26.93115425
382,26.5873127
383,26.88640976
384,26.15521049
385,28.43024063
386,27.6223011
387,27.39563942
388,26.57585144
389,28.58443451
390,26.90970802
391,27.31625366
392,28.13619614
393,28.53464127
394,27.9704895
395,27.57161331
396,28.37598038
397,28.27693367
398,28.12302399
399,28.71157646
400,27.55762291
401,29.24626923
402,28.63559532
403,27.80670166
404,26.53553391
405,28.7225647
406,28.00482941
407,28.29246712
408,28.84577179
409,29.0074482
410,28.69195747
411,26.64430428
412,27.93506813
413,28.66902161
414,29.10634422
415,28.6985569
416,27.91044235
417,29.14589119
418,28.05563736
419,29.1855793
420,28.03900337
421,27.60828972
422,28.16998672
423,28.90358734
424,27.87244034
425,28.74110413
426,28.83298492
427,27.75485611
428,28.5221653
429,28.24061584
430,27.68268776
431,29.22689247
432,28.40174484
433,29.4136734
434,30.2539463
435,28.11662483
436,29.73197746
437,29.41440582
438,29.46440697
439,29.34733963
440,29.72966194
441,28.65730095
442,29.23744965
443,30.61988068
444,30.06858635
445,29.37874413
446,30.30052185
447,29.55342674
448,29.06141472
449,29.66301537
450,29.37075424
451,29.17477798
452,29.6662426
453,29.51314354
454,30.33595848
455,29.93875498
456,29.94688797
