,x
1,4.263438225
2,4.277128696
3,4.274367809
4,4.228188992
5,4.465929985
6,4.487714767
7,4.358075619
8,4.293938637
9,4.326376915
10,4.586206913
11,4.501836777
12,4.48793602
13,4.443840981
14,4.69544363
15,4.602147102
16,4.541668415
17,4.660291672
18,4.646879196
19,4.892333508
20,4.745458603
21,4.87268734
22,4.969092369
23,4.899095058
24,4.873169899
25,5.037436962
26,5.005555153
27,5.055390358
28,4.939321518
29,5.028148651
30,5.172684193
31,5.204462528
32,5.309011936
33,5.311723232
34,5.327149391
35,5.302471638
36,5.275305748
37,5.438923359
38,5.458482265
39,5.303059101
40,5.494480133
41,5.380256653
42,5.547025681
43,5.581048012
44,5.441627026
45,5.5070858
46,5.645817757
47,5.520083427
48,5.505238533
49,5.665626049
50,5.476848125
51,5.674771309
52,5.554934978
53,5.712886333
54,5.794069767
55,5.702102184
56,5.684723854
57,5.784108162
58,5.814474106
59,5.6332798
60,5.84277916
61,5.877619267
62,5.951368809
63,5.834377766
64,5.9877882
65,6.095975399
66,5.918468952
67,6.046772957
68,6.061871529
69,6.001448154
70,5.934718132
71,6.012513161
72,6.082932949
73,6.208532333
74,6.087332726
75,6.179866791
76,6.37044239
77,6.293951511
78,6.355178356
79,6.085916996
80,6.376733303
81,6.943949223
82,6.212778568
83,6.234391212
84,6.336654186
85,6.487613201
86,6.209428787
87,6.434720993
88,6.410887241
89,6.357974052
90,6.489918232
91,6.392322063
92,6.542192936
93,6.663938522
94,6.562660694
95,6.274999619
96,6.448972702
97,6.412108421
98,6.329493999
99,6.916401863
100,6.640448093
101,6.642983913
102,6.52869463
103,6.658742428
104,6.622024536
105,6.845779896
106,6.92920351
107,6.519903183
108,6.738398075
109,6.7329216
110,6.740671158
111,6.854829788
112,6.94586277
113,6.959244728
114,6.998774529
115,6.752476215
116,7.114082336
117,7.321126938
118,7.162697315
119,6.983541489
120,6.919767857
121,7.124807835
122,7.398184299
123,7.055184841
124,7.614388466
125,7.236736774
126,7.358040333
127,7.397689819
128,7.224419594
129,7.22497654
130,7.216004372
131,7.332437992
132,7.309454441
133,7.222552776
134,7.509151459
135,7.513335705
136,7.81307888
137,7.636015892
138,7.561536312
139,7.704706192
140,8.399629593
141,7.810433865
142,7.537152767
143,7.554452419
144,7.857591629
145,7.613592148
146,7.74595499
147,7.912667751
148,7.88970232
149,8.032989502
150,7.988832474
151,8.190943718
152,7.696247578
153,8.084939003
154,7.809623241
155,8.363610268
156,8.049548149
157,7.952799797
158,7.652812481
159,7.659580708
160,8.230766296
161,8.213280678
162,7.880113602
163,8.196972847
164,8.218081474
165,8.277550697
166,8.036193848
167,8.158130646
168,8.186793327
169,8.048742294
170,8.292390823
171,9.611922264
172,8.220204353
173,9.003446579
174,8.485179901
175,8.262260437
176,8.621077538
177,8.604984283
178,9.831348419
179,8.482725143
180,8.788747787
181,8.238950729
182,8.276508331
183,8.075890541
184,8.260612488
185,8.265699387
186,8.704914093
187,8.175366402
188,8.986225128
189,8.422255516
190,8.726464272
191,9.116439819
192,8.484119415
193,8.261302948
194,8.632024765
195,8.129922867
196,8.093194008
197,9.109255791
198,9.043040276
199,8.871685028
200,8.637376785
201,8.67578125
202,8.974690437
203,8.839011192
204,8.421575546
205,8.416965485
206,8.8780756
207,8.615530968
208,8.550262451
209,8.461966515
210,8.968273163
211,8.805353165
212,8.728782654
213,8.624703407
214,8.967599869
215,9.161520958
216,8.747116089
217,9.016322136
218,8.749220848
219,9.125559807
220,9.377422333
221,9.160966873
222,9.0831604
223,9.177734375
224,9.330657005
225,9.000007629
226,9.006872177
227,8.987674713
228,8.955155373
229,9.230610847
230,9.693115234
231,9.158931732
232,9.263496399
233,9.546198845
234,9.406744003
235,9.564939499
236,9.246323586
237,9.464842796
238,9.474668503
239,9.470665932
240,9.548816681
241,9.359308243
242,9.341153145
243,9.451526642
244,9.670490265
245,9.367136002
246,9.702758789
247,9.584908485
248,9.85895443
249,9.956789017
250,9.503424644
251,9.55883503
252,9.657601357
253,10.00330925
254,10.06254292
255,9.798132896
256,9.797247887
257,9.785915375
258,10.27049065
259,10.07781124
260,10.09811687
261,10.13382816
262,10.11018276
263,9.992648125
264,10.25280857
265,10.34511471
266,10.2295866
267,10.50453758
268,10.55202389
269,10.9563446
270,10.45401669
271,10.43815613
272,10.5756464
273,10.26060867
274,10.50759888
275,10.80708027
276,10.6562252
277,10.51907635
278,10.64994812
279,10.64743137
280,11.01251507
