 ,employment_rate_any_industry,employment_rate_ed_any_ind,employment_rate_noed_any_ind,employment_rate_1,employment_rate_1_ed,employment_rate_1_noed,employment_rate_2,employment_rate_2_ed,employment_rate_2_noed,employment_rate_3,employment_rate_3_ed,employment_rate_3_noed,employment_rate_4,employment_rate_4_ed,employment_rate_4_noed,employment_rate_5,employment_rate_5_ed,employment_rate_5_noed,employment_rate_6,employment_rate_6_ed,employment_rate_6_noed,share_employed_industy_1,share_employed_industy_1_ed,share_employed_industy_1_noed,share_employed_industy_2,share_employed_industy_2_ed,share_employed_industy_2_noed,share_employed_industy_3,share_employed_industy_3_ed,share_employed_industy_3_noed,share_employed_industy_4,share_employed_industy_4_ed,share_employed_industy_4_noed,share_employed_industy_5,share_employed_industy_5_ed,share_employed_industy_5_noed,share_employed_industy_6,share_employed_industy_6_ed,share_employed_industy_6_noed,hrlwage_ed_any_industry,hrlwage_ed_industry_1,hrlwage_ed_industry_2,hrlwage_ed_industry_3,hrlwage_ed_industry_4,hrlwage_ed_industry_5,hrlwage_ed_industry_6,hrlwage_noed_any_industry,hrlwage_noed_industry_1,hrlwage_noed_industry_2,hrlwage_noed_industry_3,hrlwage_noed_industry_4,hrlwage_noed_industry_5,hrlwage_noed_industry_6,uhat_education_unskilled,uhat_education_skilled,employment_ratio,employment_ratio_industry_1,employment_ratio_industry_2,employment_ratio_industry_3,employment_ratio_industry_4,employment_ratio_industry_5,employment_ratio_industry_6
1979M1,0.945796728,0.961604178,0.934985578,0.942719102,0.965732753,0.934348822,0.953790665,0.962488532,0.938882291,0.94824481,0.951655686,0.946872771,0.928066909,0.944710255,0.919876635,0.954076707,0.972533822,0.924240291,0.969899774,0.977194428,0.963610888,0.260785282,0.172545999,0.322852522,0.212015301,0.327211291,0.13098681,0.093647957,0.06529104,0.113594122,0.249239326,0.202632934,0.282022089,0.0609826,0.093003862,0.038458951,0.123329528,0.139314875,0.112085491,6.823679447,8.243803978,6.355726719,7.396796703,5.501214981,7.142866611,7.446739197,4.986646175,5.603354931,4.263438225,5.978811741,4.312312126,4.536869526,4.9770751,-0.569134653,-0.7583974,0.703396738,0.375924855,1.757118583,0.404294699,0.505390704,1.700998425,0.874275684
1979M2,0.947634935,0.969035566,0.933248341,0.94641757,0.975707173,0.935703874,0.967668593,0.982970595,0.941978276,0.945878029,0.952882707,0.943189025,0.926053286,0.951075733,0.913086653,0.955372334,0.970874786,0.931340873,0.958342433,0.962761998,0.954950035,0.261251926,0.175473645,0.321127415,0.20800361,0.322125405,0.128343657,0.096928783,0.065891847,0.118593372,0.245019779,0.208940193,0.270204276,0.061636027,0.092620701,0.040007923,0.127159864,0.134948224,0.121723384,6.923612118,8.136861801,6.358710766,8.594041824,5.944821835,7.083786964,7.228213787,5.019505978,5.717601299,4.277128696,5.82247448,4.251461029,4.855617523,4.932271004,-0.555466354,-0.750313938,0.698025942,0.381422281,1.751951694,0.387831271,0.539760828,1.615971208,0.77386415
1979M3,0.949804306,0.966657102,0.938234687,0.942565084,0.963468194,0.934167922,0.967433572,0.975794971,0.953492284,0.941213965,0.957726479,0.934744298,0.935332775,0.945572674,0.930471599,0.946191192,0.970617354,0.911832452,0.970917225,0.980326533,0.963397086,0.257729709,0.182244778,0.311120778,0.22260429,0.338782191,0.140430778,0.086785652,0.060006075,0.105727054,0.244305655,0.191911012,0.281364769,0.062807836,0.090898663,0.042938981,0.125766844,0.136157289,0.118417613,6.914046764,8.399071693,6.401616096,7.27142477,5.696897984,7.379387856,7.353863716,5.09820509,5.78726387,4.274367809,6.306193829,4.319360733,4.997528076,5.192025661,-0.549373448,-0.751602888,0.707307577,0.414318532,1.70634377,0.401436985,0.482434601,1.497318029,0.813266516
1979M4,0.954068184,0.973357022,0.941190243,0.941454947,0.961672246,0.933942139,0.965153992,0.979564965,0.939783871,0.954500437,0.961006761,0.951784968,0.945896566,0.96569109,0.936508298,0.962932706,0.984803259,0.931388557,0.974051654,0.984425187,0.965892076,0.259654582,0.175931677,0.31746155,0.204894632,0.324698865,0.122175105,0.102923885,0.074708395,0.122405432,0.244287983,0.196437418,0.277326673,0.059482761,0.087957025,0.039822541,0.128756151,0.140266597,0.120808698,6.929488182,8.121491432,6.387222767,7.819420815,5.800068378,7.776075363,7.30467701,5.073852062,5.87322998,4.228188992,6.145564556,4.255993843,4.67083931,4.855008125,-0.552856386,-0.742321074,0.690455675,0.382638574,1.83499074,0.421409726,0.489067048,1.525026441,0.801663101
1979M5,0.957068741,0.969588876,0.948627114,0.954209745,0.973010898,0.946724057,0.970218003,0.976980269,0.957839608,0.963371098,0.981080651,0.956537545,0.946468771,0.964653313,0.937647581,0.94533807,0.953154087,0.935027122,0.964188039,0.958050489,0.968635201,0.255197406,0.181635782,0.305891722,0.209525838,0.3344419,0.12344107,0.097858548,0.068011537,0.118427344,0.258786827,0.211172149,0.291600019,0.05739234,0.080679022,0.041344535,0.121239051,0.124059603,0.119295299,7.015381336,8.530739784,6.409367085,7.618472576,5.977925301,7.881931782,7.240216255,5.13497448,5.950155735,4.465929985,5.681610107,4.335780144,5.090906143,5.089535713,-0.538731754,-0.729583263,0.689140856,0.409205705,1.86710608,0.395766079,0.499064982,1.344777703,0.716663122
1979M6,0.950220287,0.960426033,0.94350028,0.944442809,0.949504495,0.942359626,0.956608593,0.962762475,0.947049379,0.969689667,0.977692664,0.966649354,0.930092812,0.937641799,0.926394761,0.96501565,0.981663227,0.9428882,0.97088486,0.982864022,0.960749149,0.267026633,0.195047557,0.315271795,0.191880643,0.292763084,0.124262482,0.106963105,0.073987745,0.129065394,0.24836807,0.205153883,0.277333081,0.062916465,0.091014385,0.044083361,0.122845113,0.142033353,0.109983876,7.085577965,8.399585724,6.723165512,7.626630783,5.665987968,7.562467575,7.327898026,5.122324467,5.963486671,4.487714767,5.728111744,4.250974178,4.603538513,5.099290371,-0.543205559,-0.716121793,0.670266807,0.414670438,1.579152226,0.38423568,0.495821953,1.383831024,0.865583599
1979M7,0.950758636,0.965046585,0.941054583,0.949177742,0.96731472,0.941835284,0.95021987,0.955068409,0.942462146,0.956012607,0.977179468,0.947428703,0.939998209,0.960710764,0.929059803,0.96022743,0.963313818,0.954803646,0.967356861,0.985332608,0.953931391,0.26572299,0.190080345,0.318407506,0.193472281,0.291483492,0.125208244,0.105857305,0.076041996,0.126623437,0.246313795,0.211913019,0.270273685,0.061187409,0.095292188,0.037433695,0.127446219,0.135188952,0.122053459,6.948507786,8.357221603,6.485686302,7.298408508,5.507277012,7.709569454,7.320624828,5.166642666,5.908385277,4.358075619,6.274013996,4.317971706,4.652148724,5.048368931,-0.531702995,-0.732010484,0.696492195,0.415786266,1.621426702,0.418269008,0.546097457,1.773008704,0.771449268
1979M8,0.948311508,0.963330925,0.93835628,0.943839073,0.964813292,0.935185015,0.944328904,0.951265514,0.933353484,0.960307419,0.988756716,0.950285673,0.944092989,0.968500912,0.931244969,0.944315195,0.948918521,0.938231647,0.964112341,0.974277139,0.955961704,0.264646083,0.195140332,0.31194225,0.193101034,0.294348955,0.124205448,0.107466005,0.071184061,0.132154569,0.253096461,0.221123412,0.274852961,0.054354131,0.07678435,0.03909117,0.127336293,0.141418874,0.117753603,7.061767101,8.362739563,6.659061432,8.259476662,5.814567566,7.517103672,7.098385811,5.214351654,5.948341846,4.293938637,6.156455517,4.469087601,4.858262062,5.183525085,-0.528461158,-0.721045792,0.680464029,0.425674886,1.612601399,0.366526842,0.547443807,1.336593151,0.817218781
1979M9,0.950842679,0.966680706,0.940447032,0.940348685,0.965001345,0.9310444,0.958167732,0.967976809,0.941055477,0.958331227,0.958225906,0.958373427,0.94560349,0.965685725,0.935863733,0.948429286,0.958717108,0.932690561,0.96605134,0.97740984,0.958359599,0.255284727,0.178177029,0.30730772,0.201605231,0.321343929,0.120819964,0.1030434,0.073187694,0.123186447,0.25363791,0.2099832,0.283090889,0.05616948,0.085226081,0.036565579,0.130259246,0.13208206,0.129029408,7.294941425,8.955088615,6.718907356,8.243985176,5.81826973,7.779752731,7.855221272,5.246188641,5.910132408,4.326376915,6.235924244,4.519369125,5.210962296,5.285382748,-0.524468303,-0.702192605,0.674679756,0.391179353,1.794440627,0.400841653,0.500445008,1.57252574,0.690641761
1979M10,0.952308178,0.963020325,0.944937289,0.943564475,0.947571814,0.942109525,0.960559189,0.971871853,0.93930167,0.958957434,0.969958663,0.95451355,0.945786715,0.951645851,0.942696273,0.959607303,0.971667647,0.940118313,0.960317969,0.968442202,0.954558313,0.261379451,0.169617385,0.325728267,0.210558295,0.337320536,0.121665403,0.10698317,0.075531892,0.129038587,0.235986069,0.198920742,0.261978388,0.061194722,0.092860259,0.038989045,0.123898283,0.125749201,0.122600317,7.270491123,8.472107887,7.004283428,7.981046677,5.830694675,8.210621834,7.454734802,5.347191811,6.019749641,4.586206913,6.128967285,4.46247673,5.051416874,5.50816679,-0.516355634,-0.695787251,0.701256871,0.365167439,1.944253087,0.410476089,0.532465816,1.670184255,0.719268084
